,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID GENERALES,,,,,,UBICACIÓN,,,,SUP. MEDIDAS,,,,,DISTRIBUCIÓN,,,,,CONSTRUCTIVO,,,,SERVICIOS,,,,,,EQUIPAMENTO,COMERCIAL,,,,,,,,,
ID,PROPIETARIO,ESTADO,INQUILINO,TIPO DE OPERACIÓN,TIPO DE PROPIEDAD,DEPARTAMENTO,BARRIO,NÚMERO,COMPRA EN SAN JUAN,GPS,SUPERF. TERRENO,SUPERF.CUB.,FRENTE/CONTRF,N DE PISOS,CANT. AMBIENTES,CANT. DORMITORIOS,CANT.BANOS,COCHERA,ASCENSOR/ESCAL,ORIENTACION,PLANO DE ESTR,PLANO MENS,AÑO DE CONST,Nº SUMIN,CLOACAS,CAÑERIA,ELECTRIC,INTERNET,AGUA,CALEF/REFRIG,DNI-PROP,DNI-INQ,PERM/FINAN,N.C,EXPENSAS,MonedaP,PRECIO,MonedaM,Mensual,FECHA PUBLICACIÓN
,,,,VENTA,CASA,Capital,Ubicacion: Capital - San Juan,,https://www.compraensanjuan.com/anuncio_in/2622828/-127969-venta-amplia-casa-450-m-cubiertos-3-dormitorios-zona-urquiza-y-circunvalacion,,450,180,,,,4,,,,,,,Mas de 40 a�os,,,,,,,,,,,,,DOLARES,200.000,,,23/04/2026
,,,,VENTA,CASA,Capital,Ubicacion: Capital - San Juan,,https://www.compraensanjuan.com/anuncio_in/2623442/-128200-venta-casa-inversion-inteligente-en-ubicacion-clave-av-espana-y-cereceto,,252,151,,,,4,,SI,,,,,Mas de 40 a�os,,,,,,,,,,,,,DOLARES,95.000,,,24/04/2026
,,,,VENTA,DEPARTAMENTO,Lucia,Ubicacion: Capital - San Juan,,https://www.compraensanjuan.com/anuncio_in/2636802/-128273-venta-departamento-a-estrenar-en-edificio-san-pablo-santa-lucia,,53,53,,,,2,,,,,,,A estrenar,,,,,,,,,,,,,DOLARES,125.000,,,26/05/2026
,,,,VENTA,DEPARTAMENTO,Capital,Ubicacion: Capital - San Juan,,https://www.compraensanjuan.com/anuncio_in/2636789/-128205-venta-oportunidad-departamento-catamaran-6-2-dormitorios-con-cochera,,112,112,,,,3,,,,,,,Menos de 20 a�os,,,,,,,,,,,,,DOLARES,200.000,,,26/05/2026
,,,,ALQUILER,DEPARTAMENTO,Capital,Ubicacion: Capital - San Juan,,https://www.compraensanjuan.com/anuncio_in/2479576/alquiler-amplio-departamento-3-dormitorios-capital,,,,,,,2,,,,,,,Menos de 40 a�os,,,,,,,,,,,,,,,PESOS,900.000,03/06/2025
,,,,ALQUILER,CASA,Rivadavia,Ubicacion: Capital - San Juan,,https://www.compraensanjuan.com/anuncio_in/2612436/alquiler-casa-3-dormitorios-reciclada-a-nueva-en-b-natania-xv-rivadavia,,,,,,,4,,SI,,,,,Menos de 5 a�os,,,,,,,,,,,,,,,PESOS,1.100.000,30/03/2026
,,,,ALQUILER,CASA,Capital,Ubicacion: Capital - San Juan,,https://www.compraensanjuan.com/anuncio_in/2535181/alquiler-casa-centrica-con-destino-comercial-4-dormitorios-capital,,,,,,,5,,,,,,,Menos de 30 a�os,,,,,,,,,,,,,,,PESOS,2.000.000,02/10/2025
,,,,ALQUILER,CASA,Capital,Ubicacion: Capital - San Juan,,https://www.compraensanjuan.com/anuncio_in/2569815/alquiler-casa-centrica-con-fines-comerciales-4-hambientes-3-dormitorios-capital,,,,,,,4,,,,,,,Menos de 30 a�os,,,,,,,,,,,,,,,PESOS,900.000,22/12/2025
,,,,ALQUILER,DEPARTAMENTO,Capital,Ubicacion: Capital - San Juan,,https://www.compraensanjuan.com/anuncio_in/2625682/alquiler-departamento-1-dorm-patio-terraza-gral-paz-antes-de-urquiza,,,,,,,2,,,,,,,Menos de 40 a�os,,,,,,,,,,,,,,,PESOS,450.000,29/04/2026
,,,,ALQUILER,DEPARTAMENTO,Capital,Ubicacion: Capital - San Juan,,https://www.compraensanjuan.com/anuncio_in/2627742/alquiler-departamento-2-dormitorios-con-cochera-salvador-maria-del-carril-cerca-del-centro-capital,,,,,,,3,,,,,,,Menos de 30 a�os,,,,,,,,,,,,,,,PESOS,450.000,05/05/2026
