,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID GENERALES,,,,,,UBICACIÓN,,,,SUP. MEDIDAS,,,,,DISTRIBUCIÓN,,,,,CONSTRUCTIVO,,,,SERVICIOS,,,,,,EQUIPAMENTO,COMERCIAL,,,,,,,,,
ID,PROPIETARIO,ESTADO,INQUILINO,TIPO DE OPERACIÓN,TIPO DE PROPIEDAD,DEPARTAMENTO,BARRIO,NÚMERO,COMPRA EN SAN JUAN,GPS,SUPERF. TERRENO,SUPERF.CUB.,FRENTE/CONTRF,N DE PISOS,CANT. AMBIENTES,CANT. DORMITORIOS,CANT.BANOS,COCHERA,ASCENSOR/ESCAL,ORIENTACION,PLANO DE ESTR,PLANO MENS,AÑO DE CONST,Nº SUMIN,CLOACAS,CAÑERIA,ELECTRIC,INTERNET,AGUA,CALEF/REFRIG,DNI-PROP,DNI-INQ,PERM/FINAN,N.C,EXPENSAS,MonedaP,PRECIO,MonedaM,Mensual,FECHA PUBLICACIÓN
I-0026,,DISPONIBLE,,ALQUILER,DEPARTAMENTO,Capital,,Sin especificar,https://www.compraensanjuan.com/anuncio_in/2645804/-127969-departamento-en-alquiler-barrio-uvt-2-dormitorios-cochera-capital,,,,,,3,2,1,1,,SIN ESPECIFICAR,,,Menos de 40 años,,,,,,,,,,,,,,,PESOS,580.000,16/06/2026
I-0027,,DISPONIBLE,,ALQUILER,OFICINAS,Capital,,Sin especificar,https://www.compraensanjuan.com/anuncio_in/2640070/-128273-local-comercial-en-alquiler-zona-centrica-mendoza-casi-laprida,,10,10,,,1,,1,,,SIN ESPECIFICAR,,,Menos de 40 años,,,,,,,,,,,,,,,PESOS,850.000,02/06/2026
I-0028,,DISPONIBLE,,ALQUILER,OFICINAS,Capital,,Sin especificar,https://www.compraensanjuan.com/anuncio_in/2627943/-127970-oficina-de-categoria-en-alquiler-ubicacion-estrategica-av-libertador-y-sgo-del-estero,,,,,,3,,2,,,SIN ESPECIFICAR,,,Menos de 20 años,,,,,,,,,,,,,,,PESOS,950.000,05/05/2026
I-0029,,DISPONIBLE,,ALQUILER,DEPARTAMENTO,Capital,,86,https://www.compraensanjuan.com/anuncio_in/2627754/-9889-alquiler-centro-san-juan-2-dormitorios-santa-fe-y-gral-acha-capital,,,,,,3,2,2,,,SUR,,,Mas de 40 años,,,,,,,,,,,,,,,PESOS,780.000,05/05/2026
I-0030,,DISPONIBLE,,ALQUILER,DEPARTAMENTO,Capital,,Sin especificar,https://www.compraensanjuan.com/anuncio_in/2627742/alquiler-departamento-2-dormitorios-con-cochera-salvador-maria-del-carril-cerca-del-centro-capital,,,,,,3,2,1,,,SIN ESPECIFICAR,,,Menos de 30 años,,,,,,,,,,,,,,,PESOS,450.000,05/05/2026
I-0031,,DISPONIBLE,,ALQUILER,DEPARTAMENTO,Capital,,Sin especificar,https://www.compraensanjuan.com/anuncio_in/2625682/alquiler-departamento-1-dorm-patio-terraza-gral-paz-antes-de-urquiza,,,,,,2,1,1,,,SIN ESPECIFICAR,,,Menos de 40 años,,,,,,,,,,,,,,,PESOS,450.000,29/04/2026
I-0032,,DISPONIBLE,,VENTA,CASA,Capital,,Sin especificar,https://www.compraensanjuan.com/anuncio_in/2623442/-128200-venta-casa-inversion-inteligente-en-ubicacion-clave-av-espana-y-cereceto,,252,151,,,4,3,2,1,,SIN ESPECIFICAR,,,Mas de 40 años,,,,,,,,,,,,,DOLARES,95.000,,,24/04/2026
I-0033,,DISPONIBLE,,ALQUILER,DEPARTAMENTO,Capital,,Sin especificar,https://www.compraensanjuan.com/anuncio_in/2619163/-128680-alquiler-departamento-con-vista-ubicacion-capital,,,,,,3,2,1,,,OESTE,,,Menos de 30 años,,,,,,,,,,,,,,,PESOS,550.000,15/04/2026
I-0034,,DISPONIBLE,,VENTA,LOTE,Pocito,,Sin especificar,https://www.compraensanjuan.com/anuncio_in/2618141/-128176-inversion-inteligente-lote-con-mejoras-en-puesta-de-sol-lote-listo-para-construir,,1500,1500,,,,,,,,SIN ESPECIFICAR,,,Menos de 5 años,,,,,,,,,,,,,DOLARES,18.000,,,13/04/2026
I-0035,,DISPONIBLE,,ALQUILER,CASA,Rivadavia,,Sin especificar,https://www.compraensanjuan.com/anuncio_in/2612436/alquiler-casa-3-dormitorios-reciclada-a-nueva-en-b-natania-xv-rivadavia,,,,,,4,3,1,1,,SIN ESPECIFICAR,,,Menos de 5 años,,,,,,,,,,,,,,,PESOS,1.100.000,30/03/2026
I-0036,,DISPONIBLE,,Consultar,COMERCIAL,Capital,,Sin especificar,https://www.compraensanjuan.com/anuncio_in/2611206/alquilo-deposito-en-capital-91-m-deposito-con-bano-zona-laprida-y-patricias-sanjuaninas,,91,91,,,,,,,,SIN ESPECIFICAR,,,Menos de 30 años,,,,,,,,,,,,,,,,,27/03/2026
I-0037,,DISPONIBLE,,VENTA,LOTE,Santa Lucia,,3003,https://www.compraensanjuan.com/anuncio_in/2610791/venta-hermoso-terreno-parquizado-en-b-san-ignacio-127795-10024-santa-lucia,,1014,,,,,,,,,SIN ESPECIFICAR,,,Menos de 10 años,,,,,,,,,,,,,DOLARES,43.000,,,26/03/2026
I-0038,,DISPONIBLE,,VENTA,LOTE,Rivadavia,,Sin especificar,https://www.compraensanjuan.com/anuncio_in/2610178/lote-listo-para-aprovechar-con-mejoras-y-servicios-470-metros-cuadrados-en-rivadavia,,470.39,,,,,,,,,SIN ESPECIFICAR,,,Menos de 20 años,,,,,,,,,,,,,DOLARES,35.000,,,25/03/2026
I-0039,,DISPONIBLE,,ALQUILER,OFICINAS,Capital,,Sin especificar,https://www.compraensanjuan.com/anuncio_in/2607282/-128188-oficina-en-alquiler-espacios-comodos-y-bien-distribuidos,,,,,,3,,1,,,SIN ESPECIFICAR,,,Menos de 5 años,,,,,,,,,,,,,,,PESOS,450.000,18/03/2026
I-0040,,DISPONIBLE,,VENTA,CASA,Pocito,Villa Elisa,Sin especificar,https://www.compraensanjuan.com/anuncio_in/2602660/-127969-casa-en-venta-villa-elisa-pocito,,303,143,,,5,3,,,,SIN ESPECIFICAR,,,Menos de 20 años,,,,,,,,,,,,,DOLARES,105.000,,,09/03/2026
I-0041,,DISPONIBLE,,ALQUILER,DEPARTAMENTO,9 de Julio,,Sin especificar,https://www.compraensanjuan.com/anuncio_in/2601747/-127961-65039-alquiler-monoambiente-en-zona-centrica,,25,25,,,1,,1,,,SIN ESPECIFICAR,,,Menos de 20 años,,,,,,,,,,,,,,,PESOS,400.000,06/03/2026
I-0042,,DISPONIBLE,,Consultar,CASA,Capital,,Sin especificar,https://www.compraensanjuan.com/anuncio_in/2597579/apta-credito-hipotecario-casa-4-dormitorios-en-b-chacabuco-excelente-ubicacion-capital,,208.65,138,,,5,4,3,1,,SIN ESPECIFICAR,,,Menos de 30 años,,,,,,,,,,,,,,,,,25/02/2026
I-0043,,DISPONIBLE,,ALQUILER,COMERCIAL,Pocito,,Sin especificar,https://www.compraensanjuan.com/anuncio_in/2597518/alquiler-galpon-650-m2-ubicacion-privilegiada-ruta-40-entre-calle-5-y-6-pocito,,,650,,,,,,,,SIN ESPECIFICAR,,,Menos de 20 años,,,,,,,,,,,,,,,PESOS,,25/02/2026
I-0044,,DISPONIBLE,,VENTA,CASA,Capital,,Sin especificar,https://www.compraensanjuan.com/anuncio_in/2596898/venta-oportunidad-inversion-casa-3-dormitorios-centrica,,191,173,,,4,3,2,1,,SIN ESPECIFICAR,,,Menos de 40 años,,,,,,,,,,,,,DOLARES,120.000,,,24/02/2026
I-0045,,DISPONIBLE,,ALQUILER,OFICINAS,Capital,,Sin especificar,https://www.compraensanjuan.com/anuncio_in/2579238/alquiler-locales-25-de-mayo-esq-m-zavalla-nivel-subsuelo-220-metros-cuadrados-comercialactiv-ludicas,,220,220,,,1,,2,,,SIN ESPECIFICAR,,,Menos de 30 años,,,,,,,,,,,,,,,PESOS,950.000,16/01/2026
I-0046,,DISPONIBLE,,ALQUILER,DEPARTAMENTO,Capital,,281,https://www.compraensanjuan.com/anuncio_in/2575547/alquiler-oficina-1-dormitorio-pedro-echage-y-catamarca,,,,,,2,1,1,,,OESTE,,,Menos de 5 años,,,,,,,,,,,,,,,PESOS,600.000,08/01/2026
I-0047,,DISPONIBLE,,ALQUILER,CASA,Capital,,Sin especificar,https://www.compraensanjuan.com/anuncio_in/2569815/alquiler-casa-centrica-con-fines-comerciales-4-hambientes-3-dormitorios-capital,,,,,,4,3,1,,,SIN ESPECIFICAR,,,Menos de 30 años,,,,,,,,,,,,,,,PESOS,900.000,22/12/2025
I-0048,,DISPONIBLE,,VENTA,DEPARTAMENTO,Capital,,Sin especificar,https://www.compraensanjuan.com/anuncio_in/2566915/venta-departamento-san-martin-torre-2-a-3-dormitorios,,70,70,,,4,3,,,,SIN ESPECIFICAR,,,Menos de 40 años,,,,,,,,,,,,,DOLARES,57.000,,,15/12/2025
I-0049,,DISPONIBLE,,VENTA,DEPARTAMENTO,Capital,,144,https://www.compraensanjuan.com/anuncio_in/2562732/venta-departamento-domum-belgrano-2-dormitorios,,58,58,,,,2,1,,,ESTE,,,Menos de 5 años,,,,,,,,,,,,,DOLARES,160.000,,,04/12/2025
I-0050,,DISPONIBLE,,VENTA,CASA,Capital,,Sin especificar,https://www.compraensanjuan.com/anuncio_in/2562288/apta-credito-hipotecario-venta-casa-en-capital-3-dormitorios-en-pasaje,,250,91,,,3,3,1,,,SIN ESPECIFICAR,,,Mas de 40 años,,,,,,,,,,,,,DOLARES,78.000,,,03/12/2025
I-0051,,DISPONIBLE,,VENTA,LOTE,Pocito,,Sin especificar,https://www.compraensanjuan.com/anuncio_in/2560162/se-liquida-venta-excelente-lote-con-piscina-precio-por-debajo-de-su-tasacion-pocito,,2000,,,,,,,,,SIN ESPECIFICAR,,,Menos de 5 años,,,,,,,,,,,,,DOLARES,25.000,,,28/11/2025
I-0052,,DISPONIBLE,,VENTA,OFICINAS,Capital,,47,https://www.compraensanjuan.com/anuncio_in/2553133/venta-local-comercial-en-capital,,52.53,50.53,,,,,,,,SUR,,,Menos de 20 años,,,,,,,,,,,,,DOLARES,75.000,,,13/11/2025
I-0053,,DISPONIBLE,,VENTA,CASA,Capital,,Sin especificar,https://www.compraensanjuan.com/anuncio_in/2541533/apta-credito-hipotecario-venta-inversion-casa-2-pisos-en-capital-alem-y-maipu,,180,220,,,3,2,2,,,SIN ESPECIFICAR,,,Menos de 20 años,,,,,,,,,,,,,DOLARES,168.000,,,17/10/2025
I-0054,,DISPONIBLE,,VENTA,DEPARTAMENTO,Capital,,85,https://www.compraensanjuan.com/anuncio_in/2538036/venta-duplex-en-del-bono-antes-de-av-libertador-capital,,,,,,3,2,1,,,SUR,,,Menos de 20 años,,,,,,,,,,,,,DOLARES,65.000,,,09/10/2025
I-0055,,DISPONIBLE,,VENTA,CASA,Zonda,,Sin especificar,https://www.compraensanjuan.com/anuncio_in/2521024/venta-en-villa-tacu-cabana-2-habitacion-y-quincho,,800,200,,,,,1,,,SIN ESPECIFICAR,,,Menos de 20 años,,,,,,,,,,,,,DOLARES,100.000,,,02/09/2025
I-0056,,DISPONIBLE,,VENTA,DEPARTAMENTO,Capital,,166,https://www.compraensanjuan.com/anuncio_in/2519440/venta-departamento-edificio-natania-54-2-dormitorios-capital,,60,60,,,3,2,1,,,SUR,,,Menos de 5 años,,,,,,,,,,,,,DOLARES,70.000,,,29/08/2025
I-0057,,DISPONIBLE,,VENTA,DEPARTAMENTO,Santa Lucia,,Sin especificar,https://www.compraensanjuan.com/anuncio_in/2480125/inversion-venta-duplex-b-privado-santa-lucia-apta-para-credito-hipotecario,,,,,,1,3,2,2,,SIN ESPECIFICAR,,,Menos de 5 años,,,,,,,,,,,,,DOLARES,100.000,,,04/06/2025
I-0058,,DISPONIBLE,,VENTA,CASA,Capital,,2500,https://www.compraensanjuan.com/anuncio_in/2465338/apta-credito-hipotecario-venta-casa-b-municipal-4-dormitorios-calle-arenales-excelente-inversion-capital,,264.44,129,,,5,4,2,2,,SIN ESPECIFICAR,,,Menos de 40 años,,,,,,,,,,,,,DOLARES,150.000,,,05/05/2025
